Address|ProjectDescription|PermitNumber
7887 FRENCH STREET, Vancouver, BC V6P 4V8|"Certified Professional Program - New Building - This application is for all site works and the construction of all below grade facilities for a proposed new 9 unit multiple dwelling building over one level of underground parking accessed from the lane

Building 1: (rear building) BP-2017-02670
7887 French St - 1st, 2nd & 3rd storey (1 dwelling unit) *site & building primary
7889 French St - 1st, 2nd & 3rd storey (1 dwelling unit) 
7893 French St - 1st, 2nd & 3rd storey (1 dwelling unit) 
7899 French St - 1st, 2nd & 3rd storey (1 dwelling unit) 

Building 2: (front building) BP-2017-02672
7871 French St - 1st, 2nd & 3rd storey (1 dwelling unit) 
7877 French St - 1st, 2nd & 3rd storey (1 dwelling unit) 
7879 French St - 1st, 2nd & 3rd storey (1 dwelling unit) 
7881 French St - 1st, 2nd & 3rd storey (1 dwelling unit) 
7883 French St - 1st, 2nd & 3rd storey (1 dwelling unit) 

Stage #1 - excavation and shoring - issued 2018 July 05
Stage #2 - structural up to roof - issued 2019 Apr. 16
Stage #3 - full construction - issued 2019 Jul. 30

Revision #1 - Stage #1 revision - issued 2019 Mar. 08

Revision #2 - Amendment as approved per DP-2020-00082 - issued 2020-09-28 - Covid 2019"|BP-2017-01501
811 W 15TH AVENUE, Vancouver, BC V5Z 1R8|"Certified Professional Program - New Building - This permit is for all site works and all below grade foundation work for a new development that will consist of a single level underground storage garage accessed off a lane, plus 2 residential buildings on the roof of the storage garage which will consist of a 3 storey North building with 3 dwelling units + a 3 storey South building with 2 dwelling units. 

This is a CP Process Permit and the CP is Richard Lau of Camphora Engineering. Tel. 604-800-9822    rlau@camphora.ca

*** Richard Lau withdrew as CP on July 11, 2018. Susana Chui of Camphora took over as CP effective July 12, 2018 ***

Stage 1: Excavation & Shoring. March 15, 2018 (B. Smith)
Stage 2: Foundation & Full Structural. Nov. 20, 2018 (B. Smith)
Stage 3: Full Construction. Sept. 23/19 (B. Smith)

RELATED Permits: BP-2018-01361 (North Building: 3 units), and, BP-2018-01362 (South Building: 2 units)

REVISION #1 (Feb. 27, 2020, B. Smith):
- Effective Jan. 6, 2020, Fire Protection Engineer of Record is changed from Jason Andrews, P.Eng. of LSFP Designs Inc. to Tian Cai, P.Eng. of TC Engineering Ltd.

REVISION #2 (Jan. 15, 2021, B. Smith) [BP-2017-05164, BP-2018-01361, BP-2018-01362]:
- Effective Apr. 29, 2020, Electrical Engineer of Record is changed from Ishpreet Singh Minhas, P.Eng. of Laporte Engineering Inc. to Steven Nemetz, P.Eng. of Nemetz & Associates Ltd.

REVISION #3 (Feb. 15, 2022, S. Yoo) [BP-2017-05164, BP-2018-01361, BP-2018-01362]:
- DWGS A1.2, A2.1 & A3.3: Rear Patio steps removed.
- DWG A2.0: Private O/H garage gates removed."|BP-2017-05164
|"Certified Professional Program - New Building - To construct a 6 storey mixed use building consisting of a church on level 1 & multiple dwelling on levels 1-6 consisting of 47  dwelling units all over 2 levels of underground parking, having vehicular  access from the lane  on this site.

Note: One Class III cooking operation. Cooking causing grease-laden vapours  is not allowed in the church servery kitchen facility. Letter of commitment from The BC Conference of The United Church of Canada on file. 
Note: The parking garage for this project will be connected to the parking garage of the future building  to be located on the adjoining property to the west. Separate applicable permits and approvals are required when the depending access is provided. For brief description of the  future Alternative solution and alterations to the exiting fire alarm system , please refer to Section 2.14 . ""Connected Buildings"" of the Code Report prepared by Jeff Mitchell, P. Eng, CP.  

Stage 1 (Excavation & Shoring and Full Structure) issued - 02-Mar-2018
Stage 2 ( Full Construction)                                 issued - 27-July-2018"|BP-2017-04038
3572 GLEN DRIVE, Vancouver, BC|"Certified Professional Program - New Building - To construct a 15-storey (14-storey Z&D) mixed-use building containing:
- 9 townhouse units on 1st to 3rd storeys (Level 1 & 2 Z&D) (3 facing Glen Dr and 5 facing north lane),
- 131 secured rental dwelling units on 3rd storey to 15th storey (Levels 2 to 14 Z&D),
- CRU on 1st storey with future mezzanines by tenant (retail shell only),
all over three levels of underground parking having vehicular access from the lane.

The total number of dwelling units is 139.  
CACF and fire fighter response point is at 3572 Glen Dr.  Townhouses facing the lane at 3548 Glen Dr. will be equipped with exterior standpipe hose connection.
Separate tenant improvement permits are required for all shell tenant spaces.

This permit has been reviewed under the 2019 Vancouver Building By-law (#12511). 
Building to be sprinklered to NFPA 13 requirements.  
The retail shell portions of the building are TIPs eligible at the time of construction.

STAGED CONSTRUCTION
Stage 1 - Excavation and Shoring - September 29, 2021
>>Stage 1 is issued in advance of DP.  No work shall be commenced under this BP until the work and obligations under the other permits are completed, including any City or Provincial requirements. 

Stage 1 Rev 1 - Revised Excavation and Shoring drawings. - issued March 22, 2022

Stage 2 - Full Construction - issued August 15, 2022"|BP-2021-03038
2291 MARLIN QUAY, Vancouver, BC|"Enquiry Centre - New Building - To rebuild a two-car carport in the same location due to car accident damage at this multiple dwelling building on this site.

Structural Schedule B - Adam Samuel Densmore - 778.791.7456

OK for Field Review per W.Wong, January 26, 2022"|BP-2022-00356
633 W KING EDWARD AVENUE, Vancouver, BC|"Certified Professional Program - New Building - CONSTRUCTION of a new four-storey residential building over one level of underground parking accesses from the lane. Sub-permit of BP-2016-01795

Stage# 1 - Excavation and shoring only- issued 2017 Oct.20
Stage# 2 - full structural work up to roof - issued 2017 Nov.29
Stage #3 - Full construction - issued 2018 Mar.06

Building 1 - Front apartment building - BP-2018-00429
Building 2 - Rear townhouse building - BP-2018-00430

See BP-2016-01795 for details"|BP-2018-00429
2625 GUELPH STREET, Vancouver, BC V5T 4J8|"High Density Housing / Commercial - New Building - To construct a new three-storey multiple dwelling building (row houses) containing three (3) dwelling units with a detached accessory building (two-car garage) and a single parking pad at the rear of the site, having vehicular access from the lane. 

Notes:
- Schedule A - Carman Kwan, Architect AIBC
- Schedule B - Architectural, Structural & Geotechnical
- Schedule D1

Revision#1 - March 14, 2018, J. Chen
Change fire suppression standard to NFPA 13D per 3.2.5.12.(3).(c). Revised Building Permit Data Sheet received."|BP-2017-01807
1716 NAPIER STREET, Vancouver, BC V5L 2N2|"Certified Professional Program - New Building - To construct a 5-storey residential wood frame self- contained addition  to an existing Heritage Building on this site.
1 st storey - residential lobby, shared parking and tenant storage 
2 nd to 5 th storeys - 8 secured market rental units.

Note:
The upgrade of the existing Heritage Building is not included in the scope of work for this permit, and it will be processed under a separate building permit application. The upgrade triggers and corresponding requirements  must be determined in accordance with the current edition of VBBL at the time of the BP application.  


Revision#1 - 02-Aug-2018 tn
As of July 11, 2018  Mr. Richard Lau, P. Eng., C.P.  will no longer be the Certified Professional on this project. 
As of July 12, 2018  Ms. Susana Chui , P. Eng., C.P , shall assume responsibility as the  Certified Professional for the above noted project.  A new CP-1 form and letters from the owner, outgoing C.P.  and incoming C.P., acknowledging transfer of CP responsibilities and the effective date of transfer on file.  

31-May-2018  - Stage 1 (excavation ) issued.
22-Oct-2018  - Stage 2  ( full structure) issued.
19-Dec-2018  - Stage 3 (full permit)  issued."|BP-2017-00644
488 BROUGHTON STREET, Vancouver, BC V6G 2H4|"Certified Professional Program - New Building - To construct a new 11 storey  mixed-use building consisting of:

1st,  2nd & 3rd storeys -  elementary school with kindergarden at the second storey,
4th storey -  65 space childcare facility with 0-to 5 & 3 to 5 age groups,
5th to 11 storey -  60 affordable non-market residential units.

The residential bike storages and storage rooms will be located in the basement. The building is constructed adjacent to the existing Coal Harbour Community Centre and will complete the Phase II of the Coal Harbour Community Mixed-Use development proposed in 1997. Phase I (Coal Harbour Community Centre)  and Phase II ( New 11-storey  Mixed Use Building)  buildings will be constructed as separate buildings from VBBL standpoint, but both buildings will interconnect at basement and first storey and will share some facilities such as parking garage and exit stair. 

16 -Feb-2022 - Stage 1 (excavation, shoring& soil mix panels)  issued.
05-May- Rev1 to Stage 1 ( revised ground improvement approach) issued. 
02-Sep-2022  - Stage 2 (foundation to grade struct. only) issued.
Stage 3 - full permit in review"|BP-2021-02939
4128 YUKON STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Building Permit for BP-2017-01830 To construct two 4 storey wood frame residential structures and three 2 storey townhome style units with a fourth combined amenity/residential building above one level of below grade parking. 

Stage # 1 - Excavation and shoring - issued 2017 June 08
Stage #2 - Full structural work up to roof- issued 2017 July 26
stage #3 - Full construction - issued 2017 Nov. 24

Building 1 (E) - 288 W King Edward Av - BP-2017-06082
Building 2 (W) - 4118 Yukon St - BP-2017-06083
Building 3 (TH) - 4128 Yukon St - BP-2017-06084
Building 4 (TH/Amenity) - 318 W King Edward Av - BP-2017-06085

See site permit BP-2017-01830 for details"|BP-2017-06084
4122 YUKON STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Building Permit for BP-2017-01830 To construct two 4 storey wood frame residential structures and three 2 storey townhome style units with a fourth combined amenity/residential building above one level of below grade parking. 

Stage # 1 - Excavation and shoring - issued 2017 June 08
Stage #2 - Full structural work up to roof- issued 2017 July 26
stage #3 - Full construction - issued 2017 Nov. 24

Building 1 (E) - 288 W King Edward Av - BP-2017-06082
Building 2 (W) - 4118 Yukon St - BP-2017-06083
Building 3 (TH) - 4128 Yukon St - BP-2017-06084
Building 4 (TH/Amenity) - 318 W King Edward Av - BP-2017-06085

See site permit BP-2017-01830 for details"|BP-2017-06085
288 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Building Permit for BP-2017-01830 To construct two 4 storey wood frame residential structures and three 2 storey townhome style units with a fourth combined amenity/residential building above one level of below grade parking. 

Stage # 1 - Excavation and shoring - issued 2017 June 08
Stage #2 - Full structural work up to roof- issued 2017 July 26
stage #3 - Full construction - issued 2017 Nov. 24

Building 1 (E) - 288 W King Edward Av - BP-2017-06082
Building 2 (W) - 4118 Yukon St - BP-2017-06083
Building 3 (TH) - 4128 Yukon St - BP-2017-06084
Building 4 (TH/Amenity) - 318 W King Edward Av - BP-2017-06085

See site permit BP-2017-01830 for details"|BP-2017-06082
368 LAKEWOOD DRIVE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a six storey residential building consisting of 42 rental dwelling units at floor levels 2 thru 6 under the Secured Rental Market Housing Policy, with shell CRUs (E and A2 potential occupancy) on the ground floor, all over 2 storeys of underground parking having access from a Lane.

This is a CP Process Permit for Emilia Mazzonna, CP (CFT Engineering Inc.)

Stage 1: Excavation & Shoring (Dec. 2/19, B. Smith)
Stage 2: Foundation & concrete structure to grade, including L1 suspended slab (B. Smith, Jan. 24, 2020)
Stage 3: Full Construction (Apr. 2, 2020. B. Smith)

Revision #1 (Apr. 19, 2022, S.Yoo):
Change in Registered Professional of Record (Building Envelope Professional) from Scott Croasdale, P.Eng. to Joel Schwartz, P.Eng., effective May 21, 2021.

Revision #2 (Jun. 20, 2022, S.Yoo):
Change in Registered Professional of Record (Electrical Engineer) from Herb Sweeney, P.Eng. to Blake Shine, P.Eng., effective May 25, 2021.

Revision #3 (Sept. 20, 2022, S.Yoo):
Change in Registered Professional of Record (Mechanical & Plumbing) from Chien Ming Ivan Fu, P.Eng. to Hassan A. Hammoud, P.Eng., effective June 27, 2022."|BP-2018-05883
